"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"#HeatStroke","863","0.4392","0.6987","3.8918","11.1816","0.0000","0.1794","2.5788","8.6529","-1.0000","-1.0000","10858.3456","74465.4845","0.0000","0.1266","4402.9934","42250.4333","0.0000","0.1426"
"#wombcancer","228","0.4035","0.9781","12.0435","21.0238","0.0000","0.1304","22.4170","14.7213","0.0000","0.1256","1666.7500","2816.2451","0.0000","0.0978","1463.2780","2796.0131","0.0000","0.0942"
"#AnorexiaNervosa","102","0.6863","0.7843","13.0429","24.6279","0.0000","0.1286","30.8125","17.5793","0.0000","0.1000","1976.1286","4026.3143","0.0000","0.1143","1663.5625","3706.5707","0.0000","0.1125"
"#TrigeminalNeuralgia","241","0.5270","0.7801","7.7480","13.0451","0.0000","0.0630","15.1436","11.1140","0.0000","0.1702","3935.8583","17047.4143","0.0000","0.1339","7837.3245","24606.3251","0.0000","0.1862"
"#ThroatCancer","141","0.3617","0.9078","15.2745","35.7397","0.0000","0.1961","31.3438","16.3953","0.0000","0.1172","6500.8039","16836.7319","0.0000","0.1373","5009.3516","11023.3226","0.0000","0.0859"
"#dupuytrens","9","0.6667","0.6667","29.3333","58.8342","-1.0000","-1.0000","33.8333","60.0924","-1.0000","-1.0000","2118.0000","2696.6715","-1.0000","-1.0000","2028.5000","2726.3830","-1.0000","-1.0000"
"#ADHD","10144","0.4575","0.7793","10.3297","43.8865","0.0000","0.1364","11.7349","32.9902","0.0000","0.1564","4351.4958","34677.8382","0.0000","0.1267","3719.3570","22872.2160","0.0000","0.1304"
"#praderwilli","44","0.4545","0.8409","25.2000","37.6516","0.0000","0.1000","24.3784","30.0744","0.0000","0.2162","2113.4500","3945.2998","0.0000","0.1000","1641.9459","3580.6814","0.0000","0.1622"
"#Rheum","2127","0.5548","0.8091","17.9017","74.3876","0.0000","0.1254","30.4707","58.8095","0.0000","0.1679","13879.4008","219370.8700","0.0000","0.1220","8480.1801","157366.1672","0.0000","0.1255"
"#Pneumonia","1513","0.4256","0.8665","20.8199","89.7203","0.0000","0.1304","26.5995","62.3700","0.0000","0.1854","19218.0870","219730.2321","0.0000","0.1444","10843.9878","157823.6100","0.0000","0.1274"
"#porphyria","34","0.7941","0.6471","7.4074","13.2556","0.0000","0.1111","11.8182","14.5159","0.0000","0.0909","3512.5556","8563.3683","0.0000","0.1852","4112.4091","9400.4665","0.0000","0.2273"
