"avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"3.9920","1.5301","0.6627","0.8353","0.0000","4.8112","25.0602","0.1920"
"5.5868","2.4790","0.6527","0.4491","0.0000","5.2934","21.6587","0.2444"
"3.2854","1.6190","0.8163","0.6774","0.0440","3.4725","21.6622","0.1603"
"3.1499","1.1991","0.8100","0.6685","0.0075","2.0030","20.6263","0.0971"
"4.3020","1.8363","0.9369","0.6521","0.0006","3.0658","21.6648","0.1415"
"3.5782","2.0743","0.8636","0.6345","0.0000","2.0574","20.6748","0.0995"
"4.1469","2.6713","0.7133","0.6294","0.0000","3.6923","22.1154","0.1670"
"6.6905","0.5476","0.8095","0.8452","0.0000","4.5714","17.2857","0.2645"
"5.1884","2.4580","0.7802","0.4469","0.0000","4.2973","23.9483","0.1794"
"4.0148","1.3993","0.6997","0.4063","0.0007","2.2939","21.6702","0.1059"
"4.8807","1.5321","0.6514","0.4893","0.0275","4.5780","22.0428","0.2077"
"3.7500","2.2000","0.8200","0.7300","0.0000","4.5000","21.0300","0.2140"
"2.9515","0.4228","0.7859","0.6292","0.0055","2.5369","22.0754","0.1149"
"4.5638","1.6119","0.9456","0.6296","0.0000","3.5992","19.3338","0.1862"
"4.1532","1.3856","0.9190","0.3380","0.0299","3.8680","22.4190","0.1725"
"4.8016","1.2817","0.5794","0.3532","0.0000","5.5873","22.6310","0.2469"
"4.4722","1.2039","0.7405","0.6805","0.0000","3.3937","21.7252","0.1562"
"5.3563","1.3000","0.8775","0.6113","0.0000","5.3085","20.8155","0.2550"
"4.4689","1.1267","0.8578","0.6044","0.0000","3.9289","23.4911","0.1673"
"3.7680","1.3552","0.6944","0.5392","0.0000","4.3264","20.8592","0.2074"
"8.9902","2.3649","0.6780","0.7627","0.0000","2.7734","20.0990","0.1380"
"4.0800","1.1869","0.6040","0.3661","0.0308","2.6156","18.3834","0.1423"
"3.7850","1.3100","0.6900","0.8200","0.0000","3.0500","21.1200","0.1444"
"3.7308","1.4615","0.5962","0.5962","0.0000","7.2115","21.3846","0.3372"
"4.2325","0.9843","0.6189","0.2587","0.0035","2.7378","19.6923","0.1390"
"2.6836","2.1974","0.8813","0.4916","0.0361","1.9242","21.6996","0.0887"
"8.5217","1.6630","0.5616","0.7428","0.0000","3.5652","18.6667","0.1910"
"4.4228","1.7821","0.9218","0.5129","0.0035","1.5800","20.8987","0.0756"
"11.5849","6.2943","0.9132","0.0868","0.0000","4.0491","21.0642","0.1922"
"3.9868","1.3864","0.9613","0.5296","0.0030","2.4681","20.3188","0.1215"
"4.8737","0.9158","0.7474","0.3684","0.0000","6.5263","23.1474","0.2819"
"8.4413","1.4871","0.7622","0.4670","0.0000","4.8367","21.2579","0.2275"
"3.6607","2.1607","0.5607","0.7536","0.0000","3.5429","19.9786","0.1773"
"2.7453","1.7263","0.8786","0.5816","0.0030","1.9474","19.8442","0.0981"
"3.4207","2.1819","0.8015","0.6395","0.0550","1.6816","22.8356","0.0736"
"2.6702","1.3185","0.3642","0.4741","0.0008","1.7678","19.8525","0.0890"
"4.0000","0.9804","0.0000","1.0000","0.0000","0.4902","18.0784","0.0271"
"6.4472","1.8293","0.9921","0.6936","0.0016","2.9564","24.6144","0.1201"
"4.3639","1.4029","0.5595","0.6389","0.0012","1.4511","21.2266","0.0684"
