"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"#AnxietyDisorder","1149","0.6693","0.6345","8.4291","35.9397","0.0000","0.1365","28.0316","34.9750","0.0000","0.1564","2158.7217","8047.9467","0.0000","0.1417","3322.8779","14000.1012","0.0000","0.1084"
"#hidradenitissuppurativa","98","0.6224","0.8061","21.1639","62.9024","0.0000","0.0820","46.2152","43.0554","0.0000","0.1772","2464.6885","5070.7754","0.0000","0.1967","2984.7468","5774.1218","0.0000","0.1646"
"#preventaccreta","81","0.2963","0.9877","4.4167","4.9160","0.0000","0.0833","4.8875","3.3421","0.0000","0.1125","2650.0000","5667.8489","0.0000","0.2083","1795.2000","5076.1844","0.0000","0.1125"
"#MCAM","496","0.6048","0.6169","12.8067","69.4304","0.0000","0.1467","23.8170","65.3749","0.0000","0.1307","6326.8900","56584.8644","0.0000","0.1267","7611.2843","59279.3183","0.0000","0.1503"
"#RiftValleyFever","29","0.4138","0.8276","25.2500","64.0697","0.0000","0.0833","18.9583","46.2908","0.0000","0.1250","14837.9167","40008.2865","0.0000","0.0833","2186.1667","3329.0453","0.0000","0.1667"
"#AnorexiaNervosa","102","0.6863","0.7843","13.0429","24.6279","0.0000","0.1286","30.8125","17.5793","0.0000","0.1000","1958.9571","4003.3997","0.0000","0.1143","1650.4875","3683.9592","0.0000","0.1125"
"#ThroatCancer","141","0.3617","0.9078","15.2745","35.7397","0.0000","0.1961","31.3438","16.3953","0.0000","0.1172","6303.5686","16648.9741","0.0000","0.1373","4779.8516","10869.5942","0.0000","0.0625"
"#ADHD","10144","0.4575","0.7793","10.3297","43.8865","0.0000","0.1364","11.7349","32.9902","0.0000","0.1564","4319.2525","34141.6913","0.0000","0.1269","3686.5447","22462.2252","0.0000","0.1300"
"#praderwilli","44","0.4545","0.8409","25.2000","37.6516","0.0000","0.1000","24.3784","30.0744","0.0000","0.2162","2095.9000","3918.7423","0.0000","0.1000","1627.3784","3560.0636","0.0000","0.1622"
"#Rheum","2127","0.5548","0.8091","17.9017","74.3876","0.0000","0.1254","30.4707","58.8095","0.0000","0.1679","13856.8788","219069.0754","0.0000","0.1220","8448.0046","157028.7849","0.0000","0.1243"
